"Kod";"Nazwa";"styczeń;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"luty;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"marzec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"kwiecień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"maj;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"czerwiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"lipiec;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"sierpień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"wrzesień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"październik;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"listopad;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";"grudzień;turystyczne obiekty noclegowe ogółem;turyści (korzystający) ogółem;2018;[osoba]";
0000000;"POLSKA";2019667;2045505;2205113;2467756;3012555;3389729;3926772;4067560;3267168;2863790;2436125;2194190;
0200000;"DOLNOŚLĄSKIE";236529;233913;242184;264301;334091;330411;384795;413460;358437;312991;266744;276931;
0400000;"KUJAWSKO-POMORSKIE";74149;72692;81375;101099;129366;140544;143716;149885;130665;117590;100755;84797;
0600000;"LUBELSKIE";58213;59224;69956;80284;98686;116132;128670;134820;104511;91204;75065;62488;
0800000;"LUBUSKIE";34768;33059;40902;52753;63465;74050;85285;90634;69398;56449;43606;43382;
1000000;"ŁÓDZKIE";93345;91400;102715;110882;111835;132701;116607;116641;130108;126288;122849;95931;
1200000;"MAŁOPOLSKIE";356559;369669;354326;386563;460694;487149;535792;579606;496540;445327;355616;379511;
1400000;"MAZOWIECKIE";336590;343988;404590;435189;472571;517681;476779;489527;511306;500897;463686;384159;
1600000;"OPOLSKIE";23789;23658;26404;32200;37981;42058;49968;48401;39090;34477;32948;28264;
1800000;"PODKARPACKIE";73736;73391;73417;88158;121398;122638;143119;161632;126284;113101;90219;76352;
2000000;"PODLASKIE";34440;32436;36337;44748;62124;71058;84062;85576;57895;49866;41902;38357;
2200000;"POMORSKIE";134641;136722;156481;191421;260819;337579;509069;523102;276923;203284;166742;151007;
2400000;"ŚLĄSKIE";198399;199735;200348;206694;240739;268555;277338;284898;269736;256384;217589;188878;
2600000;"ŚWIĘTOKRZYSKIE";35357;35638;40873;46107;65238;67322;62161;67353;65315;57036;43760;37939;
2800000;"WARMIŃSKO-MAZURSKIE";64630;59974;65523;77935;117640;156636;201600;200738;131517;90724;75002;66654;
3000000;"WIELKOPOLSKIE";120668;123957;144178;167697;192515;215604;212802;226377;206238;189168;162170;138127;
3200000;"ZACHODNIOPOMORSKIE";143854;156049;165504;181725;243393;309611;515009;494910;293205;219004;177472;141413;
